ANO_EJE,MES_EJE,SECTOR_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,FUENTE_FINANCIAMIENTO_NOMBRE,MONTO_GIRADO
2020,1,TRABAJO Y PROMOCION DEL EMPLEO,LIMA,RECURSOS ORDINARIOS,927
2020,1,ECONOMIA Y FINANZAS,LIMA,RECURSOS DIRECTAMENTE RECAUDADOS,1101
2020,1,TRANSPORTES Y COMUNICACIONES,LIMA,RECURSOS POR OPERACIONES OFICIALES DE CREDITO,1619.54
2020,1,GOBIERNO LOCAL,HUANUCO,RECURSOS DETERMINADOS,1720
2020,1,DEFENSA,LIMA,RECURSOS ORDINARIOS,2397.5
2020,1,TRANSPORTES Y COMUNICACIONES,LIMA,RECURSOS ORDINARIOS,4476.96
2020,1,GOBIERNO LOCAL,CUSCO,RECURSOS DETERMINADOS,5000
2020,2,SALUD,LIMA,RECURSOS ORDINARIOS,540000
2020,2,GOBIERNO LOCAL,AYACUCHO,RECURSOS DETERMINADOS,900
2020,2,GOBIERNO LOCAL,AYACUCHO,RECURSOS DETERMINADOS,900
2020,2,GOBIERNO LOCAL,CAJAMARCA,RECURSOS DIRECTAMENTE RECAUDADOS,900
2020,2,GOBIERNO LOCAL,HUANUCO,RECURSOS ORDINARIOS,900
2020,2,GOBIERNO LOCAL,LIMA,RECURSOS DETERMINADOS,902
2020,2,GOBIERNO LOCAL,AREQUIPA,RECURSOS DETERMINADOS,919.6
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DIRECTAMENTE RECAUDADOS,930
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,980
2020,2,GOBIERNO LOCAL,LIMA,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DIRECTAMENTE RECAUDADOS,1000
2020,2,GOBIERNO LOCAL,CUSCO,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,JUNIN,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,CUSCO,RECURSOS DIRECTAMENTE RECAUDADOS,1000
2020,2,GOBIERNO LOCAL,AMAZONAS,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,JUNIN,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,APURIMAC,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,HUANUCO,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,CAJAMARCA,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,CAJAMARCA,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,CUSCO,RECURSOS DETERMINADOS,1000
2020,2,GOBIERNO LOCAL,APURIMAC,RECURSOS DETERMINADOS,1050
2020,2,GOBIERNO LOCAL,ICA,RECURSOS DETERMINADOS,1177
2020,2,GOBIERNO LOCAL,LIMA,RECURSOS DETERMINADOS,1192.5
2020,2,GOBIERNO LOCAL,PASCO,RECURSOS DETERMINADOS,1200
2020,2,GOBIERNO LOCAL,ANCASH,RECURSOS DETERMINADOS,1272
2020,2,GOBIERNO LOCAL,ICA,RECURSOS DETERMINADOS,1272.04
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,1300
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,1300
2020,2,GOBIERNO LOCAL,SAN MARTIN,RECURSOS DETERMINADOS,1300
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DETERMINADOS,1330
2020,2,GOBIERNO LOCAL,CUSCO,RECURSOS DIRECTAMENTE RECAUDADOS,1390
2020,2,GOBIERNO LOCAL,LIMA,RECURSOS DETERMINADOS,1400
2020,2,GOBIERNO LOCAL,HUANCAVELICA,RECURSOS DETERMINADOS,1400
2020,2,GOBIERNO LOCAL,PASCO,RECURSOS DETERMINADOS,1400
2020,2,GOBIERNO LOCAL,LAMBAYEQUE,RECURSOS DETERMINADOS,1416
2020,2,GOBIERNO LOCAL,AYACUCHO,RECURSOS DETERMINADOS,1440
2020,2,GOBIERNO LOCAL,SAN MARTIN,RECURSOS DETERMINADOS,1440
2020,2,GOBIERNO LOCAL,ICA,RECURSOS DETERMINADOS,1470
2020,2,GOBIERNO LOCAL,CAJAMARCA,RECURSOS DETERMINADOS,1495
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DIRECTAMENTE RECAUDADOS,1500
2020,2,GOBIERNO LOCAL,PUNO,RECURSOS DETERMINADOS,1500
2020,2,GOBIERNO LOCAL,AYACUCHO,RECURSOS DETERMINADOS,1500
2020,2,GOBIERNO LOCAL,AYACUCHO,RECURSOS DETERMINADOS,1500
